Person 1: (29, 1), status: SUSCEPTIBLE, was infected 1 time(s).
Person 2: (22, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 3: (4, 9), status: SUSCEPTIBLE, was infected 1 time(s).
Person 4: (20, 10), status: SUSCEPTIBLE, was infected 1 time(s).
Person 5: (21, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 6: (18, 9), status: SUSCEPTIBLE, was infected 1 time(s).
Person 7: (29, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 8: (25, 29), status: SUSCEPTIBLE, was infected 1 time(s).
Person 9: (28, 9), status: SUSCEPTIBLE, was infected 1 time(s).
Person 10: (2, 5), status: SUSCEPTIBLE, was infected 1 time(s).
Person 11: (15, 18), status: SUSCEPTIBLE, was infected 1 time(s).
Person 12: (14, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 13: (15, 8), status: SUSCEPTIBLE, was infected 1 time(s).
Person 14: (21, 28), status: SUSCEPTIBLE, was infected 1 time(s).
Person 15: (11, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 16: (5, 20), status: SUSCEPTIBLE, was infected 1 time(s).
Person 17: (29, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 18: (9, 15), status: SUSCEPTIBLE, was infected 1 time(s).
Person 19: (0, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 20: (13, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 21: (8, 3), status: SUSCEPTIBLE, was infected 1 time(s).
Person 22: (20, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 23: (3, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 24: (7, 20), status: SUSCEPTIBLE, was infected 1 time(s).
Person 25: (26, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 26: (0, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 27: (1, 9), status: SUSCEPTIBLE, was infected 1 time(s).
Person 28: (25, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 29: (12, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 30: (6, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 31: (8, 21), status: SUSCEPTIBLE, was infected 1 time(s).
Person 32: (10, 13), status: SUSCEPTIBLE, was infected 1 time(s).
Person 33: (10, 1), status: SUSCEPTIBLE, was infected 1 time(s).
Person 34: (24, 5), status: SUSCEPTIBLE, was infected 1 time(s).
Person 35: (11, 15), status: SUSCEPTIBLE, was infected 1 time(s).
Person 36: (22, 13), status: SUSCEPTIBLE, was infected 1 time(s).
Person 37: (5, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 38: (16, 11), status: SUSCEPTIBLE, was infected 1 time(s).
Person 39: (12, 10), status: SUSCEPTIBLE, was infected 1 time(s).
Person 40: (26, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 41: (2, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 42: (18, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 43: (29, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 44: (3, 15), status: SUSCEPTIBLE, was infected 1 time(s).
Person 45: (7, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 46: (0, 10), status: SUSCEPTIBLE, was infected 1 time(s).
Person 47: (19, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 48: (15, 28), status: SUSCEPTIBLE, was infected 1 time(s).
Person 49: (1, 9), status: SUSCEPTIBLE, was infected 1 time(s).
Person 50: (12, 23), status: SUSCEPTIBLE, was infected 1 time(s).
Person 51: (5, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 52: (8, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 53: (24, 18), status: SUSCEPTIBLE, was infected 1 time(s).
Person 54: (18, 26), status: SUSCEPTIBLE, was infected 1 time(s).
Person 55: (18, 1), status: SUSCEPTIBLE, was infected 1 time(s).
Person 56: (5, 13), status: SUSCEPTIBLE, was infected 1 time(s).
Person 57: (2, 2), status: SUSCEPTIBLE, was infected 1 time(s).
Person 58: (0, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 59: (20, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 60: (24, 5), status: SUSCEPTIBLE, was infected 1 time(s).
Person 61: (29, 21), status: SUSCEPTIBLE, was infected 1 time(s).
Person 62: (19, 5), status: SUSCEPTIBLE, was infected 0 time(s).
Person 63: (17, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 64: (24, 25), status: SUSCEPTIBLE, was infected 1 time(s).
Person 65: (5, 8), status: SUSCEPTIBLE, was infected 1 time(s).
Person 66: (9, 4), status: SUSCEPTIBLE, was infected 1 time(s).
Person 67: (18, 11), status: SUSCEPTIBLE, was infected 1 time(s).
Person 68: (17, 24), status: SUSCEPTIBLE, was infected 1 time(s).
Person 69: (9, 27), status: SUSCEPTIBLE, was infected 1 time(s).
Person 70: (1, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 71: (8, 4), status: SUSCEPTIBLE, was infected 1 time(s).
Person 72: (5, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 73: (16, 21), status: SUSCEPTIBLE, was infected 1 time(s).
Person 74: (10, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 75: (10, 29), status: SUSCEPTIBLE, was infected 1 time(s).
Person 76: (20, 2), status: SUSCEPTIBLE, was infected 1 time(s).
Person 77: (5, 15), status: SUSCEPTIBLE, was infected 1 time(s).
Person 78: (1, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 79: (28, 3), status: SUSCEPTIBLE, was infected 1 time(s).
Person 80: (5, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 81: (9, 4), status: SUSCEPTIBLE, was infected 1 time(s).
Person 82: (21, 19), status: SUSCEPTIBLE, was infected 1 time(s).
Person 83: (18, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 84: (29, 25), status: SUSCEPTIBLE, was infected 1 time(s).
Person 85: (11, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 86: (24, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 87: (23, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 88: (0, 24), status: SUSCEPTIBLE, was infected 1 time(s).
Person 89: (29, 19), status: SUSCEPTIBLE, was infected 1 time(s).
Person 90: (20, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 91: (8, 24), status: SUSCEPTIBLE, was infected 1 time(s).
Person 92: (24, 24), status: SUSCEPTIBLE, was infected 1 time(s).
Person 93: (15, 29), status: SUSCEPTIBLE, was infected 1 time(s).
Person 94: (28, 7), status: SUSCEPTIBLE, was infected 1 time(s).
Person 95: (24, 18), status: SUSCEPTIBLE, was infected 1 time(s).
Person 96: (17, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 97: (28, 4), status: SUSCEPTIBLE, was infected 1 time(s).
Person 98: (16, 13), status: SUSCEPTIBLE, was infected 1 time(s).
Person 99: (23, 5), status: SUSCEPTIBLE, was infected 1 time(s).
Person 100: (14, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 101: (1, 3), status: SUSCEPTIBLE, was infected 1 time(s).
Person 102: (12, 11), status: SUSCEPTIBLE, was infected 1 time(s).
Person 103: (15, 5), status: SUSCEPTIBLE, was infected 0 time(s).
Person 104: (2, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 105: (17, 7), status: SUSCEPTIBLE, was infected 1 time(s).
Person 106: (9, 1), status: SUSCEPTIBLE, was infected 1 time(s).
Person 107: (18, 19), status: SUSCEPTIBLE, was infected 1 time(s).
Person 108: (9, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 109: (4, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 110: (21, 7), status: SUSCEPTIBLE, was infected 1 time(s).
Person 111: (20, 21), status: SUSCEPTIBLE, was infected 1 time(s).
