Person 1: (68, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 2: (4, 44), status: SUSCEPTIBLE, was infected 1 time(s).
Person 3: (74, 43), status: SUSCEPTIBLE, was infected 1 time(s).
Person 4: (69, 44), status: SUSCEPTIBLE, was infected 0 time(s).
Person 5: (13, 24), status: SUSCEPTIBLE, was infected 0 time(s).
Person 6: (74, 11), status: SUSCEPTIBLE, was infected 1 time(s).
Person 7: (38, 15), status: SUSCEPTIBLE, was infected 0 time(s).
Person 8: (19, 29), status: SUSCEPTIBLE, was infected 1 time(s).
Person 9: (10, 55), status: SUSCEPTIBLE, was infected 1 time(s).
Person 10: (58, 30), status: SUSCEPTIBLE, was infected 1 time(s).
Person 11: (73, 19), status: SUSCEPTIBLE, was infected 0 time(s).
Person 12: (24, 56), status: SUSCEPTIBLE, was infected 1 time(s).
Person 13: (7, 56), status: SUSCEPTIBLE, was infected 1 time(s).
Person 14: (18, 73), status: SUSCEPTIBLE, was infected 1 time(s).
Person 15: (14, 26), status: SUSCEPTIBLE, was infected 1 time(s).
Person 16: (66, 40), status: SUSCEPTIBLE, was infected 1 time(s).
Person 17: (20, 65), status: SUSCEPTIBLE, was infected 1 time(s).
Person 18: (0, 56), status: SUSCEPTIBLE, was infected 0 time(s).
Person 19: (72, 52), status: SUSCEPTIBLE, was infected 1 time(s).
Person 20: (60, 26), status: SUSCEPTIBLE, was infected 1 time(s).
Person 21: (13, 50), status: SUSCEPTIBLE, was infected 1 time(s).
Person 22: (41, 42), status: SUSCEPTIBLE, was infected 1 time(s).
Person 23: (24, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 24: (62, 36), status: SUSCEPTIBLE, was infected 1 time(s).
Person 25: (8, 3), status: SUSCEPTIBLE, was infected 1 time(s).
Person 26: (28, 8), status: SUSCEPTIBLE, was infected 0 time(s).
Person 27: (60, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 28: (0, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 29: (14, 20), status: SUSCEPTIBLE, was infected 1 time(s).
Person 30: (40, 56), status: SUSCEPTIBLE, was infected 1 time(s).
Person 31: (34, 4), status: SUSCEPTIBLE, was infected 1 time(s).
Person 32: (74, 1), status: SUSCEPTIBLE, was infected 1 time(s).
Person 33: (63, 3), status: SUSCEPTIBLE, was infected 1 time(s).
Person 34: (12, 60), status: SUSCEPTIBLE, was infected 1 time(s).
Person 35: (65, 1), status: SUSCEPTIBLE, was infected 1 time(s).
Person 36: (7, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 37: (20, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 38: (24, 51), status: SUSCEPTIBLE, was infected 1 time(s).
Person 39: (1, 34), status: SUSCEPTIBLE, was infected 1 time(s).
Person 40: (42, 11), status: SUSCEPTIBLE, was infected 1 time(s).
Person 41: (54, 28), status: SUSCEPTIBLE, was infected 1 time(s).
Person 42: (63, 60), status: SUSCEPTIBLE, was infected 1 time(s).
Person 43: (32, 30), status: SUSCEPTIBLE, was infected 1 time(s).
Person 44: (30, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 45: (17, 58), status: SUSCEPTIBLE, was infected 1 time(s).
Person 46: (38, 47), status: SUSCEPTIBLE, was infected 1 time(s).
Person 47: (20, 69), status: SUSCEPTIBLE, was infected 1 time(s).
Person 48: (66, 67), status: SUSCEPTIBLE, was infected 1 time(s).
Person 49: (22, 32), status: SUSCEPTIBLE, was infected 0 time(s).
Person 50: (56, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 51: (14, 27), status: SUSCEPTIBLE, was infected 0 time(s).
Person 52: (41, 0), status: SUSCEPTIBLE, was infected 0 time(s).
Person 53: (44, 68), status: SUSCEPTIBLE, was infected 0 time(s).
Person 54: (66, 48), status: SUSCEPTIBLE, was infected 1 time(s).
Person 55: (74, 58), status: SUSCEPTIBLE, was infected 1 time(s).
Person 56: (45, 39), status: SUSCEPTIBLE, was infected 1 time(s).
Person 57: (48, 0), status: SUSCEPTIBLE, was infected 0 time(s).
Person 58: (59, 60), status: SUSCEPTIBLE, was infected 1 time(s).
Person 59: (70, 24), status: SUSCEPTIBLE, was infected 1 time(s).
Person 60: (56, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 61: (13, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 62: (26, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 63: (30, 5), status: SUSCEPTIBLE, was infected 0 time(s).
Person 64: (10, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 65: (23, 11), status: SUSCEPTIBLE, was infected 1 time(s).
Person 66: (72, 40), status: SUSCEPTIBLE, was infected 1 time(s).
Person 67: (46, 0), status: SUSCEPTIBLE, was infected 0 time(s).
Person 68: (52, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 69: (19, 5), status: SUSCEPTIBLE, was infected 1 time(s).
Person 70: (51, 18), status: SUSCEPTIBLE, was infected 1 time(s).
Person 71: (55, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 72: (14, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 73: (18, 41), status: SUSCEPTIBLE, was infected 1 time(s).
Person 74: (11, 56), status: SUSCEPTIBLE, was infected 1 time(s).
Person 75: (29, 66), status: SUSCEPTIBLE, was infected 1 time(s).
Person 76: (72, 50), status: SUSCEPTIBLE, was infected 1 time(s).
Person 77: (33, 33), status: SUSCEPTIBLE, was infected 1 time(s).
Person 78: (69, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 79: (56, 62), status: SUSCEPTIBLE, was infected 0 time(s).
Person 80: (69, 44), status: SUSCEPTIBLE, was infected 1 time(s).
Person 81: (7, 40), status: SUSCEPTIBLE, was infected 1 time(s).
Person 82: (54, 63), status: SUSCEPTIBLE, was infected 1 time(s).
Person 83: (39, 64), status: SUSCEPTIBLE, was infected 1 time(s).
Person 84: (31, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 85: (45, 51), status: SUSCEPTIBLE, was infected 0 time(s).
Person 86: (20, 26), status: SUSCEPTIBLE, was infected 1 time(s).
Person 87: (61, 27), status: SUSCEPTIBLE, was infected 1 time(s).
Person 88: (58, 68), status: SUSCEPTIBLE, was infected 1 time(s).
Person 89: (44, 35), status: SUSCEPTIBLE, was infected 0 time(s).
Person 90: (4, 64), status: SUSCEPTIBLE, was infected 1 time(s).
Person 91: (0, 72), status: SUSCEPTIBLE, was infected 1 time(s).
Person 92: (72, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 93: (70, 64), status: SUSCEPTIBLE, was infected 1 time(s).
Person 94: (17, 35), status: SUSCEPTIBLE, was infected 0 time(s).
Person 95: (61, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 96: (62, 66), status: SUSCEPTIBLE, was infected 1 time(s).
Person 97: (73, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 98: (56, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 99: (38, 54), status: SUSCEPTIBLE, was infected 1 time(s).
Person 100: (8, 7), status: SUSCEPTIBLE, was infected 0 time(s).
Person 101: (53, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 102: (10, 9), status: SUSCEPTIBLE, was infected 0 time(s).
Person 103: (8, 28), status: SUSCEPTIBLE, was infected 1 time(s).
Person 104: (73, 38), status: SUSCEPTIBLE, was infected 0 time(s).
Person 105: (42, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 106: (22, 50), status: SUSCEPTIBLE, was infected 1 time(s).
Person 107: (33, 66), status: SUSCEPTIBLE, was infected 1 time(s).
Person 108: (0, 5), status: SUSCEPTIBLE, was infected 1 time(s).
Person 109: (57, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 110: (50, 23), status: SUSCEPTIBLE, was infected 1 time(s).
Person 111: (51, 29), status: SUSCEPTIBLE, was infected 1 time(s).
Person 112: (35, 50), status: SUSCEPTIBLE, was infected 1 time(s).
Person 113: (34, 21), status: SUSCEPTIBLE, was infected 0 time(s).
Person 114: (28, 26), status: SUSCEPTIBLE, was infected 1 time(s).
Person 115: (64, 32), status: SUSCEPTIBLE, was infected 0 time(s).
Person 116: (63, 32), status: SUSCEPTIBLE, was infected 1 time(s).
Person 117: (58, 70), status: SUSCEPTIBLE, was infected 0 time(s).
Person 118: (19, 39), status: SUSCEPTIBLE, was infected 1 time(s).
Person 119: (63, 74), status: SUSCEPTIBLE, was infected 0 time(s).
Person 120: (20, 60), status: SUSCEPTIBLE, was infected 1 time(s).
Person 121: (55, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 122: (74, 26), status: SUSCEPTIBLE, was infected 1 time(s).
Person 123: (66, 32), status: SUSCEPTIBLE, was infected 1 time(s).
Person 124: (18, 50), status: SUSCEPTIBLE, was infected 0 time(s).
Person 125: (46, 56), status: SUSCEPTIBLE, was infected 1 time(s).
Person 126: (36, 44), status: SUSCEPTIBLE, was infected 1 time(s).
Person 127: (11, 52), status: SUSCEPTIBLE, was infected 1 time(s).
Person 128: (38, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 129: (50, 51), status: SUSCEPTIBLE, was infected 0 time(s).
Person 130: (34, 4), status: SUSCEPTIBLE, was infected 0 time(s).
Person 131: (62, 66), status: SUSCEPTIBLE, was infected 1 time(s).
Person 132: (74, 11), status: SUSCEPTIBLE, was infected 1 time(s).
Person 133: (69, 37), status: SUSCEPTIBLE, was infected 1 time(s).
Person 134: (43, 11), status: SUSCEPTIBLE, was infected 1 time(s).
Person 135: (64, 25), status: SUSCEPTIBLE, was infected 1 time(s).
Person 136: (74, 30), status: SUSCEPTIBLE, was infected 0 time(s).
Person 137: (59, 20), status: SUSCEPTIBLE, was infected 1 time(s).
Person 138: (60, 26), status: SUSCEPTIBLE, was infected 0 time(s).
Person 139: (74, 28), status: SUSCEPTIBLE, was infected 1 time(s).
Person 140: (72, 57), status: SUSCEPTIBLE, was infected 1 time(s).
Person 141: (55, 58), status: SUSCEPTIBLE, was infected 1 time(s).
Person 142: (69, 27), status: SUSCEPTIBLE, was infected 1 time(s).
Person 143: (50, 64), status: SUSCEPTIBLE, was infected 1 time(s).
Person 144: (0, 6), status: SUSCEPTIBLE, was infected 0 time(s).
Person 145: (62, 47), status: SUSCEPTIBLE, was infected 1 time(s).
Person 146: (26, 0), status: SUSCEPTIBLE, was infected 0 time(s).
Person 147: (69, 52), status: SUSCEPTIBLE, was infected 1 time(s).
Person 148: (74, 3), status: SUSCEPTIBLE, was infected 1 time(s).
Person 149: (61, 38), status: SUSCEPTIBLE, was infected 0 time(s).
Person 150: (32, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 151: (48, 72), status: SUSCEPTIBLE, was infected 0 time(s).
Person 152: (20, 61), status: SUSCEPTIBLE, was infected 1 time(s).
Person 153: (74, 39), status: SUSCEPTIBLE, was infected 0 time(s).
Person 154: (6, 4), status: SUSCEPTIBLE, was infected 1 time(s).
Person 155: (26, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 156: (29, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 157: (20, 21), status: SUSCEPTIBLE, was infected 1 time(s).
Person 158: (12, 30), status: SUSCEPTIBLE, was infected 1 time(s).
Person 159: (4, 49), status: SUSCEPTIBLE, was infected 1 time(s).
Person 160: (70, 37), status: SUSCEPTIBLE, was infected 1 time(s).
Person 161: (24, 9), status: SUSCEPTIBLE, was infected 0 time(s).
Person 162: (65, 72), status: SUSCEPTIBLE, was infected 1 time(s).
Person 163: (72, 8), status: SUSCEPTIBLE, was infected 1 time(s).
Person 164: (32, 63), status: SUSCEPTIBLE, was infected 1 time(s).
Person 165: (0, 47), status: SUSCEPTIBLE, was infected 1 time(s).
Person 166: (31, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 167: (1, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 168: (27, 34), status: SUSCEPTIBLE, was infected 1 time(s).
Person 169: (21, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 170: (29, 24), status: SUSCEPTIBLE, was infected 1 time(s).
Person 171: (1, 16), status: SUSCEPTIBLE, was infected 0 time(s).
Person 172: (2, 65), status: SUSCEPTIBLE, was infected 0 time(s).
Person 173: (17, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 174: (0, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 175: (0, 64), status: SUSCEPTIBLE, was infected 1 time(s).
Person 176: (74, 30), status: SUSCEPTIBLE, was infected 0 time(s).
Person 177: (39, 15), status: SUSCEPTIBLE, was infected 1 time(s).
Person 178: (74, 52), status: SUSCEPTIBLE, was infected 1 time(s).
Person 179: (74, 73), status: SUSCEPTIBLE, was infected 1 time(s).
Person 180: (65, 36), status: SUSCEPTIBLE, was infected 1 time(s).
Person 181: (16, 26), status: SUSCEPTIBLE, was infected 1 time(s).
Person 182: (52, 23), status: SUSCEPTIBLE, was infected 1 time(s).
Person 183: (13, 58), status: SUSCEPTIBLE, was infected 1 time(s).
Person 184: (12, 8), status: SUSCEPTIBLE, was infected 0 time(s).
Person 185: (47, 10), status: SUSCEPTIBLE, was infected 1 time(s).
Person 186: (74, 64), status: SUSCEPTIBLE, was infected 1 time(s).
Person 187: (64, 68), status: SUSCEPTIBLE, was infected 1 time(s).
Person 188: (28, 60), status: SUSCEPTIBLE, was infected 1 time(s).
Person 189: (2, 53), status: SUSCEPTIBLE, was infected 1 time(s).
Person 190: (18, 66), status: SUSCEPTIBLE, was infected 1 time(s).
Person 191: (48, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 192: (36, 19), status: SUSCEPTIBLE, was infected 1 time(s).
Person 193: (44, 74), status: SUSCEPTIBLE, was infected 0 time(s).
Person 194: (29, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 195: (26, 43), status: SUSCEPTIBLE, was infected 0 time(s).
Person 196: (29, 65), status: SUSCEPTIBLE, was infected 0 time(s).
Person 197: (56, 33), status: SUSCEPTIBLE, was infected 1 time(s).
Person 198: (25, 15), status: SUSCEPTIBLE, was infected 1 time(s).
Person 199: (22, 52), status: SUSCEPTIBLE, was infected 1 time(s).
Person 200: (40, 68), status: SUSCEPTIBLE, was infected 1 time(s).
Person 201: (33, 38), status: SUSCEPTIBLE, was infected 1 time(s).
Person 202: (2, 74), status: SUSCEPTIBLE, was infected 0 time(s).
Person 203: (42, 74), status: SUSCEPTIBLE, was infected 0 time(s).
Person 204: (30, 58), status: SUSCEPTIBLE, was infected 0 time(s).
Person 205: (72, 71), status: SUSCEPTIBLE, was infected 1 time(s).
Person 206: (12, 73), status: SUSCEPTIBLE, was infected 0 time(s).
Person 207: (5, 42), status: SUSCEPTIBLE, was infected 0 time(s).
Person 208: (42, 7), status: SUSCEPTIBLE, was infected 1 time(s).
Person 209: (47, 65), status: SUSCEPTIBLE, was infected 0 time(s).
Person 210: (4, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 211: (58, 29), status: SUSCEPTIBLE, was infected 1 time(s).
Person 212: (68, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 213: (14, 35), status: SUSCEPTIBLE, was infected 1 time(s).
Person 214: (74, 26), status: SUSCEPTIBLE, was infected 0 time(s).
Person 215: (51, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 216: (45, 40), status: SUSCEPTIBLE, was infected 1 time(s).
Person 217: (48, 66), status: SUSCEPTIBLE, was infected 1 time(s).
Person 218: (27, 46), status: SUSCEPTIBLE, was infected 0 time(s).
Person 219: (34, 66), status: SUSCEPTIBLE, was infected 1 time(s).
Person 220: (11, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 221: (21, 13), status: SUSCEPTIBLE, was infected 1 time(s).
Person 222: (40, 18), status: SUSCEPTIBLE, was infected 0 time(s).
Person 223: (14, 40), status: SUSCEPTIBLE, was infected 1 time(s).
Person 224: (71, 41), status: SUSCEPTIBLE, was infected 0 time(s).
Person 225: (52, 21), status: SUSCEPTIBLE, was infected 0 time(s).
Person 226: (25, 11), status: SUSCEPTIBLE, was infected 1 time(s).
Person 227: (55, 26), status: SUSCEPTIBLE, was infected 0 time(s).
Person 228: (21, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 229: (74, 33), status: SUSCEPTIBLE, was infected 1 time(s).
Person 230: (29, 46), status: SUSCEPTIBLE, was infected 1 time(s).
Person 231: (4, 34), status: SUSCEPTIBLE, was infected 1 time(s).
Person 232: (0, 73), status: SUSCEPTIBLE, was infected 1 time(s).
Person 233: (65, 10), status: SUSCEPTIBLE, was infected 1 time(s).
Person 234: (21, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 235: (74, 72), status: SUSCEPTIBLE, was infected 0 time(s).
Person 236: (47, 73), status: SUSCEPTIBLE, was infected 0 time(s).
Person 237: (10, 20), status: SUSCEPTIBLE, was infected 1 time(s).
Person 238: (20, 59), status: SUSCEPTIBLE, was infected 0 time(s).
Person 239: (38, 19), status: SUSCEPTIBLE, was infected 0 time(s).
Person 240: (32, 23), status: SUSCEPTIBLE, was infected 1 time(s).
Person 241: (64, 20), status: SUSCEPTIBLE, was infected 1 time(s).
Person 242: (20, 34), status: SUSCEPTIBLE, was infected 1 time(s).
Person 243: (61, 48), status: SUSCEPTIBLE, was infected 1 time(s).
Person 244: (0, 23), status: SUSCEPTIBLE, was infected 1 time(s).
Person 245: (45, 31), status: SUSCEPTIBLE, was infected 1 time(s).
Person 246: (6, 46), status: SUSCEPTIBLE, was infected 0 time(s).
Person 247: (19, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 248: (20, 30), status: SUSCEPTIBLE, was infected 1 time(s).
Person 249: (43, 5), status: SUSCEPTIBLE, was infected 1 time(s).
Person 250: (14, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 251: (48, 44), status: SUSCEPTIBLE, was infected 1 time(s).
Person 252: (32, 40), status: SUSCEPTIBLE, was infected 1 time(s).
Person 253: (42, 13), status: SUSCEPTIBLE, was infected 1 time(s).
Person 254: (51, 60), status: SUSCEPTIBLE, was infected 0 time(s).
Person 255: (2, 72), status: SUSCEPTIBLE, was infected 1 time(s).
Person 256: (60, 6), status: SUSCEPTIBLE, was infected 0 time(s).
Person 257: (54, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 258: (34, 50), status: SUSCEPTIBLE, was infected 1 time(s).
Person 259: (16, 45), status: SUSCEPTIBLE, was infected 1 time(s).
Person 260: (11, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 261: (56, 26), status: SUSCEPTIBLE, was infected 1 time(s).
Person 262: (67, 74), status: SUSCEPTIBLE, was infected 1 time(s).
Person 263: (15, 44), status: SUSCEPTIBLE, was infected 1 time(s).
Person 264: (39, 11), status: SUSCEPTIBLE, was infected 0 time(s).
Person 265: (20, 70), status: SUSCEPTIBLE, was infected 0 time(s).
Person 266: (5, 37), status: SUSCEPTIBLE, was infected 1 time(s).
Person 267: (27, 21), status: SUSCEPTIBLE, was infected 1 time(s).
Person 268: (43, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 269: (53, 24), status: SUSCEPTIBLE, was infected 1 time(s).
Person 270: (6, 51), status: SUSCEPTIBLE, was infected 1 time(s).
Person 271: (19, 69), status: SUSCEPTIBLE, was infected 1 time(s).
Person 272: (73, 58), status: SUSCEPTIBLE, was infected 1 time(s).
Person 273: (30, 8), status: SUSCEPTIBLE, was infected 1 time(s).
Person 274: (0, 9), status: SUSCEPTIBLE, was infected 1 time(s).
Person 275: (9, 42), status: SUSCEPTIBLE, was infected 1 time(s).
Person 276: (0, 28), status: SUSCEPTIBLE, was infected 1 time(s).
Person 277: (53, 47), status: SUSCEPTIBLE, was infected 0 time(s).
